date,value
2018-12-16,10.526315789473683
2018-12-23,6.153846153846154
2018-12-30,1.7241379310344827
2019-01-06,5.633802816901409
2019-01-13,0.0
2019-01-20,3.4482758620689653
2019-01-27,5.357142857142857
2019-02-03,4.285714285714286
2019-02-10,1.4705882352941175
2019-02-17,0.0
2019-02-24,3.076923076923077
2019-03-03,3.3333333333333335
2019-03-10,2.666666666666667
2019-03-17,8.333333333333332
2019-03-24,2.857142857142857
2019-03-31,4.225352112676056
2019-04-07,2.9850746268656714
2019-04-14,3.225806451612903
2019-04-21,7.246376811594203
2019-04-28,5.405405405405405
2019-05-05,7.042253521126761
2019-05-12,8.450704225352112
2019-05-19,8.928571428571429
2019-05-26,10.0
2019-06-02,13.953488372093023
2019-06-09,5.47945205479452
2019-06-16,3.125
2019-06-23,15.873015873015872
2019-06-30,10.144927536231885
2019-07-07,6.756756756756757
2019-07-14,4.819277108433735
2019-07-21,13.924050632911392
2019-07-28,5.063291139240507
2019-08-04,6.153846153846154
2019-08-11,15.384615384615385
2019-08-18,6.779661016949152
2019-08-25,12.5
2019-09-01,10.294117647058822
2019-09-08,12.32876712328767
2019-09-15,14.035087719298245
2019-09-22,23.61111111111111
2019-09-29,14.0625
2019-10-06,6.896551724137931
2019-10-13,5.084745762711865
2019-10-20,6.779661016949152
2019-10-27,5.633802816901409
2019-11-03,9.090909090909092
2019-11-10,8.955223880597014
2019-11-17,9.859154929577464
2019-11-24,1.5384615384615385
2019-12-01,14.754098360655737
2019-12-08,16.176470588235293
2019-12-15,13.114754098360656
2019-12-22,4.054054054054054
2019-12-29,9.090909090909092
2020-01-05,3.7735849056603774
2020-01-12,1.9607843137254901
2020-01-19,8.21917808219178
2020-01-26,8.450704225352112
2020-02-02,1.5151515151515151
2020-02-09,1.5873015873015872
2020-02-16,0.0
2020-02-23,6.153846153846154
2020-03-01,3.571428571428571
2020-03-08,0.0
2020-03-15,1.9230769230769231
2020-03-22,4.444444444444445
2020-03-29,1.4705882352941175
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,1.7543859649122806
2020-04-26,1.8181818181818181
2020-05-03,3.0303030303030303
2020-05-10,1.6666666666666667
2020-05-17,2.857142857142857
2020-05-24,3.278688524590164
2020-05-31,5.88235294117647
2020-06-07,1.8518518518518516
2020-06-14,0.0
2020-06-21,3.3333333333333335
2020-06-28,5.454545454545454
2020-07-05,4.0
2020-07-12,4.225352112676056
2020-07-19,1.5625
2020-07-26,4.838709677419355
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,3.7735849056603774
2020-08-23,1.6129032258064515
2020-08-30,1.4492753623188406
2020-09-06,0.0
2020-09-13,4.918032786885246
2020-09-20,9.375
2020-09-27,9.722222222222223
2020-10-04,2.272727272727273
2020-10-11,2.941176470588235
2020-10-18,3.7037037037037033
2020-10-25,2.7777777777777777
2020-11-01,1.9607843137254901
2020-11-08,4.3478260869565215
2020-11-15,4.477611940298507
2020-11-22,12.5
2020-11-29,3.4482758620689653
2020-12-06,1.8518518518518516
2020-12-13,7.575757575757576
2020-12-20,3.1746031746031744
2020-12-27,1.8181818181818181
2021-01-03,2.2222222222222223
2021-01-10,0.0
2021-01-17,1.7241379310344827
2021-01-24,5.357142857142857
2021-01-31,1.3157894736842104
2021-02-07,0.0
2021-02-14,3.0303030303030303
2021-02-21,1.5384615384615385
2021-02-28,1.7241379310344827
2021-03-07,2.083333333333333
2021-03-14,2.1739130434782608
